    -0.975     0.741     0.252    -0.672    -0.080     0.003     0.585     0.411     0.000     0.000     0.000     2.000
     0.339    -1.403     2.103    -1.562     1.632     0.000     0.000     0.812     0.187     0.000     0.000     3.000
    -0.318     0.339    -0.542     0.367    -0.650     0.086     0.887     0.027     0.000     0.000     0.000     2.000
    -0.537    -0.197    -0.806    -0.672     0.491     0.047     0.430     0.523     0.000     0.000     0.000     3.000
     0.120    -1.001     0.516    -0.820     0.491     0.007     0.017     0.974     0.001     0.001     0.000     3.000
    -0.975    -0.264     1.045    -1.117    -0.365     0.001     0.037     0.961     0.000     0.000     0.000     3.000
    -0.537    -2.408    -1.335    -0.523    -0.650     0.945     0.008     0.046     0.000     0.000     0.000     1.000
     0.777     0.272     1.045    -1.562     0.776     0.000     0.003     0.975     0.014     0.008     0.000     3.000
     1.653    -0.465     1.045     0.070     0.776     0.006     0.027     0.467     0.053     0.447     0.000     3.000
    -0.318    -0.264     0.252    -2.155     0.491     0.000     0.002     0.998     0.000     0.000     0.000     3.000
     0.339    -0.934     0.252    -0.672     0.491     0.018     0.033     0.945     0.001     0.003     0.000     3.000
     0.120     2.283    -0.542     0.960     1.347     0.000     0.998     0.001     0.000     0.000     0.000     2.000
     0.777    -2.676    -0.277     0.070     0.491     0.694     0.011     0.292     0.000     0.003     0.000     1.000
    -0.537    -0.666     0.252     1.702    -0.365     0.142     0.852     0.006     0.000     0.000     0.000     2.000
    -0.537    -0.934     0.781    -1.710     0.491     0.000     0.002     0.998     0.000     0.000     0.000     3.000
    -0.537     0.138     0.516     1.257    -0.650     0.031     0.959     0.009     0.000     0.000     0.000     2.000
    -0.975    -0.532     0.781     1.109    -0.365     0.048     0.915     0.038     0.000     0.000     0.000     2.000
     0.558    -0.130     0.781    -0.078    -0.365     0.039     0.246     0.701     0.001     0.014     0.000     3.000
     0.339    -2.006    -0.277     1.257     0.491     0.836     0.132     0.031     0.000     0.001     0.000     1.000
    -0.099    -0.130    -0.277     0.515    -0.650     0.200     0.751     0.049     0.000     0.000     0.000     2.000
    -0.537    -0.063     0.252    -1.710    -0.080     0.001     0.015     0.983     0.000     0.000     0.000     3.000
     0.558     0.674    -0.013    -0.523     0.491     0.008     0.358     0.616     0.002     0.017     0.000     3.000
    -1.194    -1.403    -1.864     1.257    -0.365     0.799     0.200     0.000     0.000     0.000     0.000     1.000
    -0.537     1.277    -0.277     0.070     0.491     0.002     0.963     0.035     0.000     0.000     0.000     2.000
    -0.756    -0.398     1.045     0.812    -0.936     0.069     0.839     0.092     0.000     0.000     0.000     2.000
    -1.194     0.674     0.781    -0.672     1.632     0.000     0.275     0.687     0.038     0.000     0.000     3.000
     0.558    -1.470    -0.806     1.702    -1.506     0.976     0.024     0.000     0.000     0.000     0.000     1.000
     0.339    -0.398    -0.542     0.070    -0.365     0.370     0.447     0.180     0.000     0.002     0.000     2.000
    -0.537     0.875    -0.542    -0.078    -0.080     0.012     0.937     0.052     0.000     0.000     0.000     2.000
     1.872    -0.063     1.310    -0.227     2.203     0.000     0.001     0.046     0.848     0.105     0.000     4.000
    -0.756    -0.398    -0.277     0.515    -0.080     0.098     0.845     0.056     0.000     0.000     0.000     2.000
     0.558     0.138    -0.013     0.664    -0.365     0.126     0.803     0.066     0.000     0.006     0.000     2.000
     1.653    -0.465     1.574    -1.562    -0.650     0.000     0.000     0.944     0.001     0.054     0.000     3.000
    -0.318    -1.202    -0.806     1.257    -1.221     0.869     0.130     0.001     0.000     0.000     0.000     1.000
    -0.537     0.942     0.516     0.367    -0.936     0.009     0.954     0.037     0.000     0.000     0.000     2.000
    -0.318     0.875    -0.013     1.405     0.206     0.004     0.994     0.002     0.000     0.000     0.000     2.000
    -0.537    -0.197    -0.806    -3.046    -0.936     0.002     0.001     0.997     0.000     0.000     0.000     3.000
     0.558     0.272     0.516     0.812    -1.221     0.149     0.797     0.050     0.000     0.004     0.000     2.000
    -0.099     0.205    -0.277    -0.672     0.776     0.009     0.302     0.687     0.001     0.001     0.000     3.000
     0.339     0.473     0.516     0.515     1.062     0.005     0.790     0.181     0.016     0.009     0.000     2.000
    -0.099    -0.197     0.516     0.218    -0.936     0.132     0.611     0.257     0.000     0.001     0.000     2.000
    -0.318    -0.331    -0.542    -0.375    -0.365     0.180     0.469     0.351     0.000     0.000     0.000     2.000
    -0.537     1.612    -0.542     1.554    -0.365     0.002     0.998     0.000     0.000     0.000     0.000     2.000
     3.624     1.545    -0.013     0.812     0.491     0.000     0.001     0.000     0.000     0.999     0.000     5.000
     0.339    -0.130     0.252    -0.672     0.491     0.008     0.095     0.891     0.001     0.005     0.000     3.000
    -0.756    -0.130     0.252    -0.672     0.491     0.006     0.217     0.777     0.000     0.000     0.000     3.000
     0.558    -0.733     0.516    -0.820    -1.221     0.088     0.031     0.878     0.000     0.003     0.000     3.000
     0.120     0.741     1.310    -0.672     0.206     0.001     0.109     0.879     0.009     0.003     0.000     3.000
     0.339    -1.805    -0.542    -0.672    -1.506     0.860     0.009     0.132     0.000     0.000     0.000     1.000
     1.653    -0.264    -0.013     0.960    -1.221     0.704     0.200     0.022     0.000     0.074     0.000     1.000
    -0.318    -1.269     1.045    -0.672     0.776     0.002     0.012     0.982     0.003     0.000     0.000     3.000
     0.339     1.411     0.516    -0.375     1.347     0.000     0.471     0.436     0.080     0.013     0.000     2.000
    -0.975     0.406     1.045    -0.375     0.776     0.001     0.348     0.645     0.007     0.000     0.000     3.000
     0.339     0.004    -1.071     0.664    -0.365     0.319     0.666     0.014     0.000     0.001     0.000     2.000
    -2.290     1.881    -0.277     0.960     0.491     0.000     1.000     0.000     0.000     0.000     0.000     2.000
     0.558    -1.001    -0.013    -1.265     0.206     0.013     0.007     0.977     0.000     0.002     0.000     3.000
     2.529     1.076     1.045    -0.672     1.062     0.000     0.001     0.042     0.050     0.907     0.000     5.000
    -0.099     0.406     0.252    -0.672     0.491     0.004     0.246     0.747     0.001     0.001     0.000     3.000
     2.310    -0.532     0.252    -0.672     0.491     0.005     0.002     0.231     0.002     0.760     0.000     5.000
     0.339     1.143    -1.071     1.702    -1.221     0.071     0.928     0.000     0.000     0.000     0.000     2.000
    -0.318    -0.465    -0.806    -0.523     1.062     0.043     0.348     0.608     0.000     0.000     0.000     3.000
    -2.071     2.015    -0.277     1.702    -0.080     0.000     1.000     0.000     0.000     0.000     0.000     2.000
    -2.071     1.814     0.781     1.405     0.776     0.000     1.000     0.000     0.000     0.000     0.000     2.000
     1.434    -0.331    -1.335    -0.672     0.491     0.265     0.115     0.483     0.000     0.136     0.000     3.000
    -0.099     0.004     1.045    -1.117     0.491     0.000     0.018     0.978     0.003     0.001     0.000     3.000
    -0.756     0.674    -0.277     0.960    -0.650     0.018     0.979     0.003     0.000     0.000     0.000     2.000
    -2.071     0.406    -2.393     0.515    -0.080     0.034     0.965     0.000     0.000     0.000     0.000     2.000
    -0.537     0.674    -1.600     0.812     0.491     0.022     0.977     0.002     0.000     0.000     0.000     2.000
     0.558    -0.264     2.368     0.515     1.347     0.000     0.014     0.133     0.847     0.006     0.000     4.000
     0.120    -0.331    -1.071    -0.969    -0.080     0.163     0.186     0.650     0.000     0.001     0.000     3.000
     0.120    -1.135    -0.542     0.515    -0.365     0.711     0.231     0.058     0.000     0.000     0.000     1.000
     1.872    -1.135    -0.806     0.218    -0.936     0.924     0.015     0.023     0.000     0.037     0.000     1.000
     0.777     0.339     0.516     1.702     0.776     0.013     0.962     0.011     0.002     0.012     0.000     2.000
