         *         *         *    60.370    70.170    67.890    52.281     3.463    49.688     3.889     0.398     0.525     0.077     2.000
    58.430    64.380    61.420    59.240    66.240         *    57.453     2.027    58.044     1.880     0.748     0.143     0.109     1.000
    41.750         *         *         *         *         *    43.328     2.774    42.720     1.561     0.061     0.454     0.485     3.000
         *         *         *    54.930    55.080    55.170    46.743     2.110    47.669     1.803     0.214     0.281     0.504     3.000
         *         *         *    55.550    66.970    68.540    48.351     3.889    47.511     4.105     0.110     0.794     0.097     2.000
    50.540    46.310    56.010    52.080    61.460         *    47.637     2.963    46.931     3.443     0.108     0.495     0.398     2.000
         *         *         *    46.800    39.000    33.020    40.113     0.274    40.114     0.274     0.000     0.000     1.000     3.000
         *         *         *    52.540    66.320    72.240    47.138     4.367    46.822     4.495     0.013     0.906     0.080     2.000
         *         *         *    54.270    63.190         *    47.311     3.435    45.783     3.906     0.137     0.646     0.218     2.000
         *         *         *    82.020         *         *    68.481     3.742    68.911     3.740     0.964     0.034     0.002     1.000
         *         *         *    64.640    68.590    68.710    56.027     2.860    57.301     2.650     0.793     0.173     0.034     1.000
    48.910    50.450    54.220    68.420    67.320    62.000    49.467     3.407    49.039     3.433     0.050     0.774     0.176     2.000
    66.490    76.290    76.360         *    81.330         *    69.387     3.068    69.397     3.068     0.997     0.002     0.001     1.000
         *         *         *    41.330    39.360    48.160    38.574     1.029    38.730     0.962     0.001     0.032     0.967     3.000
    49.260         *         *         *         *         *    49.189     2.751    47.937     3.580     0.263     0.382     0.354     2.000
    50.640         *         *         *    58.570    79.120    49.918     3.592    50.554     2.853     0.012     0.449     0.539     3.000
    63.890    70.260    68.140    74.800    82.210         *    63.939     4.003    63.949     4.006     0.994     0.004     0.002     1.000
         *         *         *    70.100    67.120         *    57.235     2.793    59.666     2.367     0.669     0.279     0.052     1.000
         *         *         *    52.370    63.860    66.220    46.215     3.823    45.554     4.034     0.045     0.830     0.125     2.000
    56.610         *         *         *    58.410         *    52.332     1.888    52.422     1.558     0.337     0.302     0.361     3.000
    45.460    43.820    43.400    50.200    54.300         *    43.532     2.336    43.994     1.985     0.046     0.228     0.726     3.000
    44.380    46.800    56.550         *    54.980    50.660    46.288     1.878    46.486     1.811     0.049     0.117     0.833     3.000
         *         *         *    59.120    65.930    66.200    51.223     3.162    53.760     2.704     0.494     0.413     0.093     1.000
         *         *         *    70.430         *         *    59.403     3.180    60.880     3.080     0.829     0.147     0.024     1.000
    41.090    50.060    63.470         *    63.580    64.410    46.106     3.940    45.629     4.038     0.059     0.867     0.073     2.000
    65.040         *         *         *         *         *    62.574     2.839    62.946     2.878     0.927     0.048     0.025     1.000
         *         *         *    62.230    60.430    58.250    51.168     2.226    55.063     1.530     0.392     0.350     0.258     1.000
    62.860    71.400    72.100    78.000    73.450    79.320    66.146     2.532    66.224     2.520     0.982     0.014     0.004     1.000
         *         *         *    62.560         *    57.550    50.172     2.330    45.803     3.055     0.267     0.427     0.306     2.000
    35.500    31.940    30.620    28.290    36.630         *    33.051     0.459    33.055     0.455     0.000     0.002     0.998     3.000
    38.840    44.520         *         *         *         *    41.531     2.718    41.633     1.634     0.027     0.409     0.564     3.000
    44.460    46.800         *    54.310    55.970    57.110    45.386     2.550    45.901     2.259     0.225     0.282     0.493     3.000
         *         *         *    71.020         *    79.720    60.823     3.449    61.208     3.397     0.941     0.049     0.010     1.000
    44.580    44.490         *    39.620    41.560         *    41.909     0.342    41.929     0.323     0.002     0.010     0.989     3.000
    65.460    66.540    78.910         *    78.180    85.210    66.030     3.408    66.070     3.404     0.986     0.009     0.004     1.000
    49.260    58.090    58.880    59.450    58.810         *    52.380     2.110    53.746     1.765     0.551     0.201     0.248     1.000
    51.550    61.880    57.400    56.300    63.370    58.070    53.410     1.881    55.007     1.609     0.413     0.232     0.355     1.000
    47.040    50.890    64.880    66.780         *    68.650    50.085     3.878    49.250     3.969     0.183     0.743     0.074     2.000
    56.630    53.410    63.220    71.440    74.020         *    55.144     4.345    55.280     4.459     0.777     0.188     0.035     1.000
         *         *         *    49.380         *    47.920    43.873     1.412    44.141     1.321     0.031     0.069     0.900     3.000
    52.610         *    46.860         *         *         *    47.991     2.072    48.007     1.230     0.044     0.399     0.557     3.000
         *         *         *    72.680    77.540    69.930    63.040     2.814    64.127     2.696     0.865     0.113     0.021     1.000
         *         *         *    68.140    77.220         *    59.749     3.736    60.337     3.687     0.889     0.095     0.016     1.000
         *         *         *    60.340         *    62.060    50.160     2.691    46.199     3.472     0.399     0.420     0.181     2.000
    44.290    36.310    46.750         *    42.020    37.100    40.848     0.430    40.849     0.430     0.001     0.001     0.999     3.000
         *         *         *    51.220         *         *    44.767     2.601    45.706     1.686     0.059     0.431     0.510     3.000
    55.430    54.570    63.090    65.270    66.620    69.570    54.993     3.000    55.195     2.975     0.886     0.076     0.038     1.000
    50.590    60.740    59.340         *    62.520    64.970    53.939     2.330    55.144     2.087     0.669     0.223     0.107     1.000
         *         *         *    61.920         *    48.390    49.235     1.598    50.087     1.489     0.022     0.144     0.833     3.000
    47.750    46.130    59.790         *         *         *    47.443     3.266    46.977     3.782     0.065     0.634     0.301     2.000
         *         *         *    56.190    50.190    49.060    46.005     1.461    46.607     1.315     0.028     0.127     0.845     3.000
         *         *         *    41.870         *         *    40.158     1.691    40.403     1.134     0.003     0.212     0.785     3.000
    50.490    58.070    61.690    61.200    62.960         *    54.004     2.481    54.661     2.346     0.774     0.121     0.105     1.000
         *         *         *    68.200    73.190    77.840    59.077     3.420    59.409     3.364     0.938     0.053     0.009     1.000
    36.810         *         *         *         *         *    39.932     2.844    39.404     1.527     0.021     0.462     0.518     3.000
    49.370    46.300         *         *         *         *    46.745     2.415    46.601     1.481     0.081     0.393     0.526     3.000
